Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
RSQ_178_sorted_q10_mrkDup	36555425	32050917	0	0	0	0	0	0	0	0	0	0	664652	0	3839856	87.67759368137561
RSQ_178_sorted_q10_rmDup	6086344	5353116	0	0	0	0	0	0	0	0	0	0	212567	0	520661	87.95289914602263
RSQ_179_sorted_q10_mrkDup	35946371	30686647	0	0	0	0	0	0	0	0	0	0	1571610	0	3688114	85.3678581351091
RSQ_179_sorted_q10_rmDup	965488	775874	0	0	0	0	0	0	0	0	0	0	110781	0	78833	80.36081235603135
RSQ_180_sorted_q10_mrkDup	31709136	28196448	0	0	0	0	0	0	0	0	0	0	677868	0	2834820	88.92215795472951
RSQ_180_sorted_q10_rmDup	2325316	2023474	0	0	0	0	0	0	0	0	0	0	108850	0	192992	87.01931264395893
RSQ_181_sorted_q10_mrkDup	34471617	30570969	0	0	0	0	0	0	0	0	0	0	803718	0	3096930	88.68446467132655
RSQ_181_sorted_q10_rmDup	2763926	2393893	0	0	0	0	0	0	0	0	0	0	136832	0	233201	86.61205111859
RSQ_182_sorted_q10_mrkDup	39775552	35376182	0	0	0	0	0	0	0	0	0	0	982022	0	3417348	88.93951239193362
RSQ_182_sorted_q10_rmDup	3676143	3221636	0	0	0	0	0	0	0	0	0	0	167265	0	287242	87.63630794558318
RSQ_183_sorted_q10_mrkDup	34004102	29699251	0	0	0	0	0	0	0	0	0	0	720041	0	3584810	87.34020089693885
RSQ_183_sorted_q10_rmDup	2650317	2325267	0	0	0	0	0	0	0	0	0	0	104414	0	220636	87.73542938448496
RSQ_184_sorted_q10_mrkDup	33969602	20612677	0	0	0	0	0	0	0	0	0	0	11255946	0	2100979	60.679771873688715
RSQ_184_sorted_q10_rmDup	8846848	3857214	0	0	0	0	0	0	0	0	0	0	4655396	0	334238	43.59986743301117
RSQ_188_sorted_q10_mrkDup	40434402	34611538	0	0	0	0	0	0	0	0	0	0	808236	0	5014628	85.59923304912486
RSQ_188_sorted_q10_rmDup	5938942	5225436	0	0	0	0	0	0	0	0	0	0	233963	0	479543	87.98597460625142
RSQ_190_sorted_q10_mrkDup	47650816	40526012	0	0	0	0	0	0	0	0	0	0	1012808	0	6111996	85.04788669306313
RSQ_190_sorted_q10_rmDup	1098910	955754	0	0	0	0	0	0	0	0	0	0	48773	0	94383	86.97290951943289
RSQ_192_sorted_q10_mrkDup	37009802	31855989	0	0	0	0	0	0	0	0	0	0	786233	0	4367580	86.07446481340267
RSQ_192_sorted_q10_rmDup	2066649	1808733	0	0	0	0	0	0	0	0	0	0	85893	0	172023	87.52008686525869
