Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
RSQ_178_sorted_FR	RSQ_178_sorted	361.0	207.0	202.0	12.0	1766693.0	455.15951	473.312135	40326609.0	FR	123.0	207.0	291.0	347.0	405.0	539.0	2055.0	6951.0	21473.0	47315.0	161007.0			
RSQ_179_sorted_FR	RSQ_179_sorted	783.0	207.0	603.0	12.0	2160123.0	1234.409919	1542.491258	40245141.0	FR	425.0	753.0	965.0	1093.0	1207.0	1605.0	4981.0	12289.0	26507.0	54223.0	173443.0			
RSQ_180_sorted_FR	RSQ_180_sorted	400.0	207.0	223.0	11.0	1414278.0	480.922592	487.001379	34595040.0	FR	117.0	221.0	301.0	381.0	447.0	543.0	1487.0	6807.0	19929.0	43699.0	149233.0			
RSQ_181_sorted_FR	RSQ_181_sorted	396.0	207.0	223.0	11.0	1558817.0	491.247688	506.641248	37071651.0	FR	123.0	227.0	307.0	383.0	447.0	549.0	1761.0	6725.0	21455.0	47955.0	152785.0			
RSQ_182_sorted_FR	RSQ_182_sorted	512.0	207.0	329.0	12.0	2418776.0	700.60666	808.774499	42809275.0	FR	199.0	357.0	471.0	569.0	659.0	833.0	3491.0	9355.0	23499.0	48597.0	155507.0			
RSQ_183_sorted_FR	RSQ_183_sorted	540.0	207.0	377.0	11.0	1352627.0	796.151915	976.867559	38869249.0	FR	279.0	479.0	597.0	685.0	755.0	1091.0	3719.0	10085.0	27001.0	55723.0	184043.0			
RSQ_184_sorted_FR	RSQ_184_sorted	301.0	165.0	135.0	12.0	4550271.0	331.2471	249.238325	36209744.0	FR	51.0	109.0	173.0	229.0	271.0	319.0	537.0	2893.0	16061.0	34485.0	144517.0			
RSQ_188_sorted_FR	RSQ_188_sorted	459.0	9142.0	279.0	12.0	1519202.0	568.453228	626.334931	43813693.0	FR	165.0	303.0	399.0	483.0	559.0	685.0	3073.0	10793.0	21905.0	49023.0	162167.0			
RSQ_190_sorted_FR	RSQ_190_sorted	694.0	9142.0	519.0	12.0	1229031.0	1026.739293	1310.661305	52640772.0	FR	383.0	671.0	835.0	951.0	1039.0	1771.0	5719.0	15007.0	26623.0	55983.0	192305.0			
RSQ_192_sorted_FR	RSQ_192_sorted	498.0	207.0	314.0	12.0	2253152.0	663.239435	757.566706	40614818.0	FR	199.0	357.0	463.0	557.0	629.0	773.0	3185.0	9429.0	26263.0	55571.0	178673.0			
