Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
PP002_sorted_q10_mrkDup	11606991	10061326	0	0	0	0	0	0	0	0	0	0	657891	0	887774	86.68332731540845
PP002_sorted_q10_rmDup	2644539	2141331	0	0	0	0	0	0	0	0	0	0	313021	0	190187	80.97180642826595
PP003_sorted_q10_mrkDup	5322564	3741076	0	0	0	0	0	0	0	0	0	0	1121436	0	460052	70.28710223118031
PP003_sorted_q10_rmDup	1609812	1021200	0	0	0	0	0	0	0	0	0	0	495216	0	93396	63.435978859643235
PP004_sorted_q10_mrkDup	4921835	3476985	0	0	0	0	0	0	0	0	0	0	1063594	0	381256	70.64407888521252
PP004_sorted_q10_rmDup	1066302	609916	0	0	0	0	0	0	0	0	0	0	402245	0	54141	57.19917996965213
PP005_sorted_q10_mrkDup	5215107	3638008	0	0	0	0	0	0	0	0	0	0	1100288	0	476811	69.75902891350071
PP005_sorted_q10_rmDup	1319992	851612	0	0	0	0	0	0	0	0	0	0	392100	0	76280	64.51645161485827
PP007_sorted_q10_mrkDup	1804987	1087360	0	0	0	0	0	0	0	0	0	0	552961	0	164666	60.24198512233052
PP007_sorted_q10_rmDup	587642	283401	0	0	0	0	0	0	0	0	0	0	277411	0	26830	48.22681156214158
PP008_sorted_q10_mrkDup	12786395	7644389	0	0	0	0	0	0	0	0	0	0	3784214	0	1357792	59.78533433387597
PP008_sorted_q10_rmDup	2862381	1558017	0	0	0	0	0	0	0	0	0	0	1154380	0	149984	54.43080428496416
PP010_sorted_q10_mrkDup	4884157	2990012	0	0	0	0	0	0	0	0	0	0	1559879	0	334266	61.21858900113162
PP010_sorted_q10_rmDup	1354362	779240	0	0	0	0	0	0	0	0	0	0	510101	0	65021	57.53557763729342
PP011_sorted_q10_mrkDup	5295863	3990635	0	0	0	0	0	0	0	0	0	0	873301	0	431927	75.35381863163757
PP011_sorted_q10_rmDup	1138700	757605	0	0	0	0	0	0	0	0	0	0	310542	0	70553	66.53244928427154
PP012_sorted_q10_mrkDup	5710447	4523189	0	0	0	0	0	0	0	0	0	0	649230	0	538028	79.20901813815976
PP012_sorted_q10_rmDup	1459682	1094167	0	0	0	0	0	0	0	0	0	0	268097	0	97418	74.95927195101399
PP015_sorted_q10_mrkDup	8197299	6191790	0	0	0	0	0	0	0	0	0	0	1411125	0	594384	75.53451447848859
PP015_sorted_q10_rmDup	756466	496333	0	0	0	0	0	0	0	0	0	0	216840	0	43293	65.61206980882154
PP016_sorted_q10_mrkDup	8602491	6626033	0	0	0	0	0	0	0	0	0	0	1295711	0	680747	77.02458508820294
PP016_sorted_q10_rmDup	1894588	1287805	0	0	0	0	0	0	0	0	0	0	494562	0	112221	67.97282575420091
PP017_sorted_q10_mrkDup	7245444	4259756	0	0	0	0	0	0	0	0	0	0	2498364	0	487324	58.79220100245064
PP017_sorted_q10_rmDup	1820103	907420	0	0	0	0	0	0	0	0	0	0	833378	0	79305	49.85542027017152
PP018_sorted_q10_mrkDup	4074203	1789641	0	0	0	0	0	0	0	0	0	0	2050069	0	234493	43.92616175482665
PP018_sorted_q10_rmDup	1095521	432573	0	0	0	0	0	0	0	0	0	0	624200	0	38748	39.48559635095996
PP019_sorted_q10_mrkDup	5754691	3634699	0	0	0	0	0	0	0	0	0	0	1692192	0	427800	63.16062843339459
PP019_sorted_q10_rmDup	2033919	1075937	0	0	0	0	0	0	0	0	0	0	858412	0	99570	52.89969757891046
PP020_sorted_q10_mrkDup	6492197	4354005	0	0	0	0	0	0	0	0	0	0	1681776	0	456416	67.06520150266543
PP020_sorted_q10_rmDup	2250007	1353916	0	0	0	0	0	0	0	0	0	0	777249	0	118842	60.173857236888594
PP026_sorted_q10_mrkDup	3823336	2900555	0	0	0	0	0	0	0	0	0	0	611118	0	311663	75.86450680766744
PP026_sorted_q10_rmDup	1052157	731648	0	0	0	0	0	0	0	0	0	0	256128	0	64381	69.53791116724976
PP027_sorted_q10_mrkDup	18897142	14477240	0	0	0	0	0	0	0	0	0	0	2690996	0	1728906	76.61073827989439
PP027_sorted_q10_rmDup	3805927	2745161	0	0	0	0	0	0	0	0	0	0	825112	0	235654	72.12857734791025
PP029_sorted_q10_mrkDup	4851194	3749108	0	0	0	0	0	0	0	0	0	0	684167	0	417919	77.28217012141752
PP029_sorted_q10_rmDup	1397414	1000227	0	0	0	0	0	0	0	0	0	0	308141	0	89046	71.57699865608903
PP031_sorted_q10_mrkDup	11807599	7102104	0	0	0	0	0	0	0	0	0	0	3814135	0	891360	60.14858736310404
PP031_sorted_q10_rmDup	2518153	1352936	0	0	0	0	0	0	0	0	0	0	1042482	0	122735	53.72731521873373
PP032_sorted_q10_mrkDup	5125495	4034718	0	0	0	0	0	0	0	0	0	0	698148	0	392629	78.71860181309317
PP032_sorted_q10_rmDup	1632990	1141119	0	0	0	0	0	0	0	0	0	0	390312	0	101559	69.87911744713685
