Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
PP002	56763347	56763347	33.23	11609390.0										
PP002_R1					63.67070385033465	50.0	84.6428117649069	18.181818181818183	34939877.0					
PP002_R2					61.1622972935304	51.0	84.76537098284577	36.36363636363637	34939877.0					
PP002_libComplexityPicard										0.578255				
PP002_sorted											128	164.622047		
PP002_sorted_q10	23213982	23213982								0.77216				
PP002_sorted_q10_mrkDup	23213982	23213982											86.68332731540845	10061326
PP002_sorted_q10_rmDup	5289078	5289078											80.97180642826595	2141331
PP003	57435205	57435205	17.14	5325474.0										
PP003_R1					60.257752900241876	49.0	79.82434853874665	27.27272727272727	31070382.0					
PP003_R2					58.721322050224515	50.0	79.99479768224285	45.45454545454545	31070382.0					
PP003_libComplexityPicard										0.593999				
PP003_sorted											90	135.180765		
PP003_sorted_q10	10645128	10645128								0.69755				
PP003_sorted_q10_mrkDup	10645128	10645128											70.28710223118031	3741076
PP003_sorted_q10_rmDup	3219624	3219624											63.435978859643235	1021200
PP004	37343140	37343140	15.77	4925225.0										
PP004_R1					66.08267260921964	50.0	79.78037669161537	18.181818181818183	31221932.0					
PP004_R2					63.37983734149556	51.0	79.98539462580342	45.45454545454545	31221932.0					
PP004_libComplexityPicard										0.669511				
PP004_sorted											97	150.349723		
PP004_sorted_q10	9843670	9843670								0.783353				
PP004_sorted_q10_mrkDup	9843670	9843670											70.64407888521252	3476985
PP004_sorted_q10_rmDup	2132604	2132604											57.19917996965213	609916
PP005	82325137	82325137	14.42	5218489.0										
PP005_R1					69.36690179494792	46.0	82.02256828572365	36.36363636363637	36195926.0					
PP005_R2					66.97156661168043	46.0	82.23783742954939	45.45454545454545	36195926.0					
PP005_libComplexityPicard										0.658524				
PP005_sorted											89	111.364525		
PP005_sorted_q10	10430214	10430214								0.746891				
PP005_sorted_q10_mrkDup	10430214	10430214											69.75902891350071	3638008
PP005_sorted_q10_rmDup	2639984	2639984											64.51645161485827	851612
PP007	31108670	31108670	5.34	1808805.0										
PP007_R1					63.945549150446595	51.0	80.6016388897803	27.27272727272727	33841446.0					
PP007_R2					60.55299757490019	51.0	80.8583752597333	36.36363636363637	33841446.0					
PP007_libComplexityPicard										0.57921				
PP007_sorted											87	99.939895		
PP007_sorted_q10	3609974	3609974								0.674434				
PP007_sorted_q10_mrkDup	3609974	3609974											60.24198512233052	1087360
PP007_sorted_q10_rmDup	1175284	1175284											48.22681156214158	283401
PP008	128719351	128719351	39.2	12791522.0										
PP008_R1					73.35216465454094	49.0	83.61133296020029	27.27272727272727	32631792.0					
PP008_R2					69.96342927722245	50.0	83.89620594541667	36.36363636363637	32631792.0					
PP008_libComplexityPicard										0.695911				
PP008_sorted											107	142.351243		
PP008_sorted_q10	25572790	25572790								0.776139				
PP008_sorted_q10_mrkDup	25572790	25572790											59.78533433387597	7644389
PP008_sorted_q10_rmDup	5724762	5724762											54.43080428496416	1558017
PP010	101157720	101157720	11.45	4885992.0										
PP010_R1					71.51357975459715	43.0	87.4008653771605	36.36363636363637	42654003.0					
PP010_R2					67.77895757155365	43.0	87.55731263956632	36.36363636363637	42654003.0					
PP010_libComplexityPicard										0.634911				
PP010_sorted											89	96.872399		
PP010_sorted_q10	9768314	9768314								0.722703				
PP010_sorted_q10_mrkDup	9768314	9768314											61.21858900113162	2990012
PP010_sorted_q10_rmDup	2708724	2708724											57.53557763729342	779240
PP011	36430164	36430164	16.06	5297646.0										
PP011_R1					68.11982932649772	51.0	85.10536570414891	27.27272727272727	32985885.0					
PP011_R2					64.43094683653408	51.0	85.2065837857617	36.36363636363637	32985885.0					
PP011_libComplexityPicard										0.65978				
PP011_sorted											121	156.65146		
PP011_sorted_q10	10591726	10591726								0.784983				
PP011_sorted_q10_mrkDup	10591726	10591726											75.35381863163757	3990635
PP011_sorted_q10_rmDup	2277400	2277400											66.53244928427154	757605
