Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PP002_R1	PP002_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34939877.0	0.0	1-100	50.0	36.32929614966535	84.6428117649069	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PP002_R2	PP002_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34939877.0	0.0	1-100	51.0	38.8377027064696	84.76537098284577	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
PP003_R1	PP003_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31070382.0	0.0	1-100	49.0	39.742247099758124	79.82434853874665	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PP003_R2	PP003_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31070382.0	0.0	1-100	50.0	41.278677949775485	79.99479768224285	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
PP004_R1	PP004_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31221932.0	0.0	1-100	50.0	33.91732739078036	79.78037669161537	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PP004_R2	PP004_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31221932.0	0.0	1-100	51.0	36.62016265850444	79.98539462580342	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
PP005_R1	PP005_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36195926.0	0.0	1-100	46.0	30.63309820505207	82.02256828572365	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PP005_R2	PP005_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36195926.0	0.0	1-100	46.0	33.02843338831957	82.23783742954939	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
PP007_R1	PP007_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33841446.0	0.0	1-100	51.0	36.054450849553405	80.6016388897803	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PP007_R2	PP007_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33841446.0	0.0	1-100	51.0	39.44700242509981	80.8583752597333	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PP008_R1	PP008_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32631792.0	0.0	1-100	49.0	26.647835345459054	83.61133296020029	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PP008_R2	PP008_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32631792.0	0.0	1-100	50.0	30.03657072277755	83.89620594541667	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PP010_R1	PP010_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42654003.0	0.0	1-100	43.0	28.48642024540285	87.4008653771605	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PP010_R2	PP010_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42654003.0	0.0	1-100	43.0	32.22104242844635	87.55731263956632	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PP011_R1	PP011_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32985885.0	0.0	1-100	51.0	31.880170673502274	85.10536570414891	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PP011_R2	PP011_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32985885.0	0.0	1-100	51.0	35.56905316346592	85.2065837857617	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
