Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
RSQ_067_sorted_FR	RSQ_067_sorted	368.0	207.0	209.0	12.0	2819217.0	454.57654	470.869983	37457113.0	FR	111.0	205.0	291.0	359.0	419.0	503.0	1419.0	5811.0	19345.0	43401.0	149145.0			
RSQ_068_sorted_FR	RSQ_068_sorted	459.0	207.0	288.0	11.0	3167330.0	589.719717	662.058662	39308426.0	FR	161.0	297.0	399.0	495.0	577.0	693.0	2695.0	8927.0	23405.0	51049.0	168173.0			
RSQ_069_sorted_FR	RSQ_069_sorted	443.0	207.0	301.0	12.0	1915144.0	618.400605	746.228138	12816233.0	FR	203.0	351.0	467.0	533.0	603.0	761.0	3107.0	8323.0	24019.0	50257.0	174169.0			
RSQ_070_sorted_FR	RSQ_070_sorted	464.0	207.0	270.0	11.0	2589898.0	577.360064	612.461023	39822584.0	FR	143.0	271.0	371.0	457.0	541.0	647.0	2457.0	7805.0	24425.0	51701.0	164341.0			
RSQ_071_sorted_FR	RSQ_071_sorted	410.0	207.0	242.0	11.0	3609178.0	524.665474	567.432425	42601742.0	FR	139.0	251.0	343.0	419.0	485.0	583.0	2169.0	7203.0	22345.0	49485.0	160465.0			
RSQ_072_sorted_FR	RSQ_072_sorted	570.0	207.0	381.0	12.0	3000739.0	832.411853	986.359009	33587459.0	FR	225.0	405.0	541.0	649.0	763.0	1079.0	4111.0	10645.0	28245.0	56497.0	173735.0			
RSQ_073_sorted_FR	RSQ_073_sorted	1376.0	286.0	1110.0	12.0	2966008.0	2327.486144	2892.303578	40601655.0	FR	921.0	1499.0	1833.0	2047.0	2221.0	2531.0	5751.0	13523.0	30445.0	59761.0	188875.0			
RSQ_074_sorted_FR	RSQ_074_sorted	613.0	286.0	393.0	12.0	2238608.0	870.998333	991.564912	43942313.0	FR	221.0	397.0	535.0	653.0	787.0	1149.0	4169.0	11509.0	28471.0	57259.0	182359.0			
RSQ_076_sorted_FR	RSQ_076_sorted	1150.0	207.0	935.0	12.0	2467180.0	1972.432256	2480.405738	49612906.0	FR	793.0	1285.0	1569.0	1733.0	1871.0	2141.0	5351.0	12051.0	27635.0	55699.0	189223.0			
RSQ_077_sorted_FR	RSQ_077_sorted	944.0	286.0	718.0	12.0	2734988.0	1573.913991	1904.07348	43710816.0	FR	529.0	837.0	1041.0	1227.0	1437.0	2247.0	6111.0	14059.0	34765.0	66901.0	200003.0			
RSQ_078_sorted_FR	RSQ_078_sorted	391.0	207.0	235.0	11.0	1265580.0	520.542252	573.666705	40676354.0	FR	145.0	249.0	339.0	403.0	471.0	629.0	2559.0	7321.0	21789.0	48293.0	170287.0			
RSQ_132_sorted_FR	RSQ_132_sorted	363.0	180.0	214.0	11.0	3829485.0	455.199389	487.802391	37045151.0	FR	123.0	219.0	303.0	367.0	429.0	559.0	2041.0	7469.0	19889.0	47709.0	179321.0			
RSQ_134_sorted_FR	RSQ_134_sorted	314.0	155.0	189.0	12.0	3014840.0	399.647564	437.8218	39777129.0	FR	111.0	209.0	277.0	327.0	379.0	501.0	2055.0	6681.0	17663.0	40409.0	171997.0			
RSQ_135_sorted_FR	RSQ_135_sorted	430.0	207.0	279.0	11.0	2231414.0	573.713698	654.647105	45574912.0	FR	179.0	309.0	409.0	485.0	559.0	715.0	2749.0	8667.0	21383.0	49365.0	193051.0			
RSQ_138_sorted_FR	RSQ_138_sorted	422.0	176.0	221.0	11.0	2314032.0	488.064901	455.027788	42314939.0	FR	103.0	201.0	287.0	367.0	443.0	523.0	757.0	4441.0	17501.0	41129.0	145007.0			
RSQ_141_sorted_FR	RSQ_141_sorted	532.0	176.0	353.0	12.0	3571260.0	744.564798	868.930723	37140175.0	FR	193.0	359.0	499.0	611.0	707.0	819.0	2857.0	7865.0	23327.0	48751.0	158251.0			
RSQ_160b_sorted_FR	RSQ_160b_sorted	374.0	180.0	221.0	12.0	2051979.0	460.660819	496.294287	42237947.0	FR	113.0	207.0	295.0	369.0	443.0	567.0	1675.0	6965.0	19565.0	45845.0	168421.0			
RSQ_169b_sorted_FR	RSQ_169b_sorted	453.0	176.0	274.0	12.0	3008380.0	568.708717	620.507514	37135511.0	FR	139.0	263.0	367.0	463.0	549.0	639.0	1955.0	7169.0	23211.0	50235.0	157735.0			
RSQ_171b_sorted_FR	RSQ_171b_sorted	315.0	180.0	173.0	11.0	1564750.0	373.890047	375.779413	40222455.0	FR	83.0	161.0	229.0	285.0	347.0	437.0	1073.0	5619.0	17715.0	41035.0	154903.0			
RSQ_177_sorted_FR	RSQ_177_sorted	303.0	161.0	153.0	11.0	4567481.0	354.86799	321.130867	33924260.0	FR	79.0	157.0	221.0	267.0	307.0	371.0	879.0	4219.0	15711.0	35861.0	138771.0			
