Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
RSQ_067	91153605	91153605	76.42	34696418.0										
RSQ_067_R1					90.66542676040729	48.0	145.730145845324	18.181818181818183	45403444.0					
RSQ_067_R2					75.06250547320506	49.0	145.56616302058495	18.181818181818183	45403444.0					
RSQ_067__STARpass1			77.04	34977401.0										
RSQ_067_libComplexityPicard										0.671915				
RSQ_067_sorted											275	454.57654		
RSQ_067_sorted_q10	69382154	69382154								0.958759				
RSQ_067_sorted_q10_mrkDup	69382154	69382154											84.73635453866135	29395954
RSQ_067_sorted_q10_rmDup	2861382	2861382											78.20109303825915	1118816
RSQ_068	94712508	94712508	80.6	36411181.0										
RSQ_068_R1					89.60058876889497	49.0	146.94933810791775	27.27272727272727	45175869.0					
RSQ_068_R2					71.97263627362139	50.0	146.7693007078624	27.27272727272727	45175869.0					
RSQ_068__STARpass1			81.29	36725515.0										
RSQ_068_libComplexityPicard										0.616966				
RSQ_068_sorted											322	589.719717		
RSQ_068_sorted_q10	72809782	72809782								0.945046				
RSQ_068_sorted_q10_mrkDup	72809782	72809782											84.88922546149088	30903830
RSQ_068_sorted_q10_rmDup	4001164	4001164											78.19929400544441	1564441
RSQ_069	33084950	33084950	24.51	11607018.0										
RSQ_069_R1					89.27851566464506	54.0	144.28699142369717	9.090909090909092	47351523.0					
RSQ_069_R2					71.6897702673604	55.0	144.20821511907863	18.181818181818183	47351523.0					
RSQ_069__STARpass1			24.75	11718957.0										
RSQ_069_libComplexityPicard										0.530763				
RSQ_069_sorted											283	618.400605		
RSQ_069_sorted_q10	23208242	23208242								0.916922				
RSQ_069_sorted_q10_mrkDup	23208242	23208242											84.2969148632628	9781916
RSQ_069_sorted_q10_rmDup	1928092	1928092											80.17968022272795	772969
RSQ_070	88371551	88371551	79.76	37852868.0										
RSQ_070_R1					91.58821512686099	48.0	148.18894159883502	18.181818181818183	47457204.0					
RSQ_070_R2					75.61544683736516	49.0	148.0017617346357	27.27272727272727	47457204.0					
RSQ_070__STARpass1			80.69	38292566.0										
RSQ_070_libComplexityPicard										0.67098				
RSQ_070_sorted											338	577.360064		
RSQ_070_sorted_q10	75691826	75691826								0.959447				
RSQ_070_sorted_q10_mrkDup	75691826	75691826											88.26604605892318	33405091
RSQ_070_sorted_q10_rmDup	3069564	3069564											86.82607692818915	1332591
RSQ_071	99409883	99409883	82.6	39949470.0										
RSQ_071_R1					90.73372696293171	48.0	147.24884470872212	27.27272727272727	48365292.0					
RSQ_071_R2					73.6541191113592	50.0	147.08599623465523	27.27272727272727	48365292.0					
RSQ_071__STARpass1			83.46	40363433.0										
RSQ_071_libComplexityPicard										0.650972				
RSQ_071_sorted											294	524.665474		
RSQ_071_sorted_q10	79886172	79886172								0.953496				
RSQ_071_sorted_q10_mrkDup	79886172	79886172											83.72899129526446	33443943
RSQ_071_sorted_q10_rmDup	3715006	3715006											78.69747720461287	1461808
RSQ_072	78388077	78388077	73.04	31591819.0										
RSQ_072_R1					92.0961289697712	49.0	148.24712518540665	18.181818181818183	43253572.0					
RSQ_072_R2					76.24399240320182	51.0	148.08865080553346	18.181818181818183	43253572.0					
RSQ_072__STARpass1			73.49	31788422.0										
RSQ_072_libComplexityPicard										0.748114				
RSQ_072_sorted											389	832.411853		
RSQ_072_sorted_q10	63171436	63171436								0.971478				
RSQ_072_sorted_q10_mrkDup	63171436	63171436											86.90401465624433	27449257
RSQ_072_sorted_q10_rmDup	1801766	1801766											81.87844592472052	737629
RSQ_073	103190945	103190945	78.55	37146257.0										
RSQ_073_R1					89.61735819596622	48.0	148.3185399994337	27.27272727272727	47290557.0					
RSQ_073_R2					69.47910850580541	51.0	147.9523257677003	27.27272727272727	47290557.0					
RSQ_073__STARpass1			78.99	37356875.0										
RSQ_073_libComplexityPicard										0.634048				
RSQ_073_sorted											829	2327.486144		
RSQ_073_sorted_q10	74277228	74277228								0.943868				
RSQ_073_sorted_q10_mrkDup	74277228	74277228											89.20694240232014	33130222
RSQ_073_sorted_q10_rmDup	4169348	4169348											87.75300118867506	1829364
RSQ_074	99021535	99021535	85.79	41568247.0										
RSQ_074_R1					83.95679871438412	47.0	148.7725858716063	18.181818181818183	48452104.0					
RSQ_074_R2					59.910670136262794	49.0	148.42139532268814	27.27272727272727	48452104.0					
RSQ_074__STARpass1			86.98	42145746.0										
RSQ_074_libComplexityPicard										0.367847				
RSQ_074_sorted											434	870.998333		
RSQ_074_sorted_q10	83120980	83120980								0.84991				
RSQ_074_sorted_q10_mrkDup	83120980	83120980											90.09061490853453	37442101
RSQ_074_sorted_q10_rmDup	12475634	12475634											88.98808669763797	5550914
RSQ_076	128412736	128412736	76.78	45336976.0										
RSQ_076_R1					90.86260537790679	47.0	148.328482388616	36.36363636363637	59050697.0					
RSQ_076_R2					72.16152757652517	51.0	148.0951460403592	27.27272727272727	59050697.0					
RSQ_076__STARpass1			77.16	45561218.0										
