Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
RSQ_067	45403444.0	291.0	34696418.0	76.42	288.98	25588135.0	25439754.0	25118817.0	210030.0	25437.0	233851.0	0.5	0.02	1.68	0.02	1.27	2766914.0	6.09	98124.0	0.22	0.0	17.07	0.2	0	7751172	90816
RSQ_067__STARpass1	45403444.0	291.0	34977401.0	77.04	288.99	25066470.0	24335394.0	24691848.0	166411.0	20309.0	187902.0	0.5	0.02	1.68	0.02	1.26	2522973.0	5.56	87205.0	0.19	0.0	17.0	0.21	0	7720494	95371
RSQ_068	45175869.0	293.0	36411181.0	80.6	289.77	30047094.0	29832841.0	29508353.0	231422.0	21955.0	285364.0	0.51	0.03	1.68	0.01	1.31	2904261.0	6.43	95957.0	0.21	0.0	12.52	0.24	0	5656047	108423
RSQ_068__STARpass1	45175869.0	293.0	36725515.0	81.29	289.86	28569955.0	27656894.0	28108757.0	194756.0	21680.0	244762.0	0.51	0.03	1.68	0.01	1.29	2632618.0	5.83	86223.0	0.19	0.0	12.45	0.24	0	5623116	108397
RSQ_069	47351523.0	288.0	11607018.0	24.51	287.38	10694395.0	10621422.0	10493098.0	84146.0	8098.0	109053.0	0.52	0.02	1.68	0.01	1.37	1212889.0	2.56	45538.0	0.1	0.0	72.69	0.14	0	34419786	66292
RSQ_069__STARpass1	47351523.0	288.0	11718957.0	24.75	287.44	10592567.0	10309796.0	10419997.0	71918.0	7951.0	92701.0	0.52	0.02	1.68	0.02	1.34	1110205.0	2.34	44720.0	0.09	0.0	72.67	0.14	0	34411347	66294
RSQ_070	47457204.0	296.0	37852868.0	79.76	290.84	28827802.0	28652545.0	28355557.0	217134.0	22088.0	233023.0	0.5	0.03	1.69	0.01	1.26	1977168.0	4.17	41418.0	0.09	0.0	15.79	0.19	0	7495556	90194
RSQ_070__STARpass1	47457204.0	296.0	38292566.0	80.69	290.84	28433845.0	27490875.0	28028884.0	179052.0	22078.0	203831.0	0.5	0.03	1.7	0.01	1.24	1541513.0	3.25	37324.0	0.08	0.0	15.83	0.15	0	7514595	71206
RSQ_071	48365292.0	294.0	39949470.0	82.6	290.1	31327060.0	31118123.0	30758866.0	252096.0	22990.0	293108.0	0.51	0.03	1.66	0.01	1.3	2659366.0	5.5	76305.0	0.16	0.0	11.55	0.19	0	5588224	91927
RSQ_071__STARpass1	48365292.0	294.0	40363433.0	83.46	290.12	30800572.0	29810923.0	30336794.0	197133.0	22805.0	243840.0	0.51	0.03	1.66	0.01	1.28	2266129.0	4.69	64701.0	0.13	0.0	11.51	0.22	0	5564667	106362
RSQ_072	43253572.0	296.0	31591819.0	73.04	291.34	28913780.0	28748815.0	28398618.0	226096.0	24422.0	264644.0	0.5	0.03	1.74	0.01	1.33	2002432.0	4.63	58830.0	0.14	0.0	22.03	0.16	0	9531267	69224
RSQ_072__STARpass1	43253572.0	296.0	31788422.0	73.49	291.34	28715037.0	27927828.0	28269730.0	199495.0	24082.0	221730.0	0.5	0.03	1.74	0.01	1.32	1815315.0	4.2	56196.0	0.13	0.0	22.03	0.15	0	9528759	64880
RSQ_073	47290557.0	296.0	37146257.0	78.55	291.2	43901695.0	43724553.0	43302778.0	294629.0	31307.0	272981.0	0.52	0.02	1.96	0.01	1.4	3463395.0	7.32	161078.0	0.34	0.0	13.57	0.22	0	6415812	104015
RSQ_073__STARpass1	47290557.0	296.0	37356875.0	78.99	291.36	43187033.0	42394897.0	42650102.0	273264.0	30975.0	232692.0	0.51	0.02	1.96	0.01	1.39	3386216.0	7.16	120643.0	0.26	0.0	13.15	0.44	0	6218743	208080
RSQ_074	48452104.0	297.0	41568247.0	85.79	289.78	35981449.0	35784556.0	35450525.0	255981.0	27242.0	247701.0	0.56	0.02	1.57	0.01	1.29	2382083.0	4.92	56763.0	0.12	0.0	9.07	0.11	0	4391748	53263
RSQ_074__STARpass1	48452104.0	297.0	42145746.0	86.98	289.81	34731586.0	33504743.0	34272691.0	222899.0	26296.0	209700.0	0.56	0.02	1.57	0.01	1.26	1810840.0	3.74	56322.0	0.12	0.0	9.05	0.11	0	4385887	53309
