Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
PP091	49157481	49157481	8.68	3462536.0										
PP091_R1					73.12960521739797	49.0	94.903948986399	27.27272727272727	39888970.0					
PP091_R2					70.64706797053586	50.0	94.79915114378737	36.36363636363637	39888970.0					
PP091_libComplexityPicard										0.614905				
PP091_sorted											107	130.753272		
PP091_sorted_q10	6923720	6923720								0.712829				
PP091_sorted_q10_mrkDup	6923720	6923720											71.42524538831726	2472642
PP091_sorted_q10_rmDup	1988294	1988294											69.94589331356428	695365
PP097	29216172	29216172	13.99	4197731.0										
PP097_R1					67.56121754051631	48.0	95.48836459735493	27.27272727272727	30008029.0					
PP097_R2					67.89177376261011	50.0	95.40822171292889	27.27272727272727	30008029.0					
PP097_libComplexityPicard										0.58921				
PP097_sorted											138	169.532813		
PP097_sorted_q10	8394294	8394294								0.735846				
PP097_sorted_q10_mrkDup	8394294	8394294											75.98039811328981	3189009
PP097_sorted_q10_rmDup	2217386	2217386											69.41876606057762	769641
PP098	83716613	83716613	50.72	15361810.0										
PP098_R1					80.57375736260961	46.0	97.48060267533593	27.27272727272727	30286290.0					
PP098_R2					78.71031971120195	48.0	97.45595838909288	27.27272727272727	30286290.0					
PP098_libComplexityPicard										0.785879				
PP098_sorted											165	222.15875699999998		
PP098_sorted_q10	30718696	30718696								0.865515				
PP098_sorted_q10_mrkDup	30718696	30718696											55.63025201330161	8544444
PP098_sorted_q10_rmDup	4131196	4131196											52.83138345408932	1091284
PP099	68322173	68322173	23.23	7193865.0										
PP099_R1					72.46057449398566	45.0	95.95058870474881	45.45454545454545	30969599.0					
PP099_R2					73.03524465086954	47.0	95.91698445950172	36.36363636363637	30969599.0					
PP099_libComplexityPicard										0.703101				
PP099_sorted											125	167.405211		
PP099_sorted_q10	14385208	14385208								0.789171				
PP099_sorted_q10_mrkDup	14385208	14385208											65.66450759697045	4722988
PP099_sorted_q10_rmDup	3032826	3032826											63.246292401872054	959075
PP102	36705299	36705299	26.34	8126957.0										
PP102_R1					68.84706498219037	48.0	96.00083862468274	36.36363636363637	30850511.0					
PP102_R2					69.38310432250589	50.0	95.91447188670554	27.27272727272727	30850511.0					
PP102_libComplexityPicard										0.654311				
PP102_sorted											176	242.963397		
PP102_sorted_q10	16251336	16251336								0.778043				
PP102_sorted_q10_mrkDup	16251336	16251336											82.00987291137172	6663850
PP102_sorted_q10_rmDup	3607096	3607096											79.74997061347965	1438329
PP103	60610546	60610546	51.86	15548432.0										
PP103_R1					65.09949193589104	45.0	98.08791949838889	27.27272727272727	29981313.0					
PP103_R2					65.76631149549613	46.0	98.03209032239515	27.27272727272727	29981313.0					
PP103_libComplexityPicard										0.590747				
PP103_sorted											147	163.387167		
PP103_sorted_q10	31092306	31092306								0.680653				
PP103_sorted_q10_mrkDup	31092306	31092306											38.890875446806675	6046035
PP103_sorted_q10_rmDup	9929226	9929226											30.73701817241344	1525974
PP105	45453374	45453374	26.5	8481539.0										
PP105_R1					76.4096522991459	47.0	96.55373159646292	36.36363636363637	32004921.0					
PP105_R2					75.29764564407573	49.0	96.47699096023389	36.36363636363637	32004921.0					
PP105_libComplexityPicard										0.739477				
PP105_sorted											162	225.849459		
PP105_sorted_q10	16960474	16960474								0.849235				
PP105_sorted_q10_mrkDup	16960474	16960474											76.5260334115662	6489589
PP105_sorted_q10_rmDup	2557038	2557038											71.63358542188266	915849
PP109	50805742	50805742	50.93	15099456.0										
PP109_R1					74.08466381365315	46.0	97.24193418190563	27.27272727272727	29645009.0					
PP109_R2					73.57585699401285	48.0	97.1947472844417	27.27272727272727	29645009.0					
PP109_libComplexityPicard										0.677248				
PP109_sorted											165	199.728559		
PP109_sorted_q10	30195948	30195948								0.803644				
PP109_sorted_q10_mrkDup	30195948	30195948											67.39442656345813	10175193
PP109_sorted_q10_rmDup	5929164	5929164											56.260039357993804	1667875
PP111	51926517	51926517	22.72	7917134.0										
PP111_R1					77.55030531097312	49.0	94.31990944271769	18.181818181818183	34842035.0					
PP111_R2					78.36205519953	50.0	94.24441155632844	27.27272727272727	34842035.0					
PP111_libComplexityPicard										0.776099				
PP111_sorted											146	179.632912		
PP111_sorted_q10	15831226	15831226								0.867802				
PP111_sorted_q10_mrkDup	15831226	15831226											68.96586530948393	5459071
PP111_sorted_q10_rmDup	2092860	2092860											61.67369054786273	645372
PP114	22582745	22582745	7.72	2644670.0										
PP114_R1					71.51938858183239	50.0	93.88819526659425	27.27272727272727	34265687.0					
PP114_R2					71.77506927852717	52.0	93.75999734078	27.27272727272727	34265687.0					
PP114_libComplexityPicard										0.679875				
PP114_sorted											138	167.819955		
PP114_sorted_q10	5288238	5288238								0.777652				
PP114_sorted_q10_mrkDup	5288238	5288238											60.19865217866518	1591724
PP114_sorted_q10_rmDup	1175830	1175830											56.63148584404208	332945
PP116	37940572	37940572	15.68	5227455.0										
PP116_R1					69.73346637993495	50.0	89.93163441707352	27.27272727272727	33346984.0					
PP116_R2					69.79387027555714	51.0	89.8728063083606	27.27272727272727	33346984.0					
PP116_libComplexityPicard										0.69799				
PP116_sorted											146	198.438997		
PP116_sorted_q10	10452634	10452634								0.811694				
PP116_sorted_q10_mrkDup	10452634	10452634											77.83969093340491	4068149
PP116_sorted_q10_rmDup	1968290	1968290											71.14002509792763	700121
RSQ_041b	69724352	69724352	88.64	30465061.0										
RSQ_041b_R1					76.99047751302864	47.0	147.16542284221936	18.181818181818183	34370338.0					
RSQ_041b_R2					61.75525069049873	48.0	146.93202214071914	27.27272727272727	34370338.0					
RSQ_041b_sorted											279	476.306061		
RSQ_041b_sorted_q10	60921640	60921640								0.766365				
RSQ_041b_sorted_q10_mrkDup	60921640	60921640												
RSQ_041b_sorted_q10_rmDup	14233438	14233438												
RSQ_047	59441313	59441313	54.16	20202073.0										
RSQ_047_R1					82.33079797191132	50.0	144.00423185431475	27.27272727272727	37300906.0					
RSQ_047_R2					64.16598188998228	51.0	143.83122962214375	18.181818181818183	37300906.0					
RSQ_047_libComplexityPicard										0.349296				
RSQ_047_sorted											220	304.115446		
RSQ_047_sorted_q10	40399492	40399492								0.82756				
RSQ_047_sorted_q10_mrkDup	40399492	40399492											87.13218968198908	17600481
RSQ_047_sorted_q10_rmDup	6966490	6966490											85.32262301388505	2971996
RSQ_049	129756402	129756402												
RSQ_049_R1					86.33410873694777	49.0	145.0976912320686	27.27272727272727	60511582.0					
RSQ_049_R2					66.79850337473366	50.0	144.85788819733716	27.27272727272727	60511582.0					
RSQ_049_sorted											238	416.512469		
RSQ_049_sorted_q10	79006804	79006804								0.890418				
RSQ_049_sorted_q10_mrkDup	79006804	79006804												
RSQ_049_sorted_q10_rmDup	8657700	8657700												
RSQ_051	149867201	149867201	78.32	50280578.0										
RSQ_051_R1					76.73228931183849	47.0	140.92979871632528	27.27272727272727	64194923.0					
RSQ_051_R2					54.32111651493467	47.0	140.72983519273012	18.181818181818183	64194923.0					
RSQ_051_sorted_q10	100551494	100551494								0.791433				
RSQ_051_sorted_q10_mrkDup	100551494	100551494												
RSQ_051_sorted_q10_rmDup	20971694	20971694												
RSQ_054	77936709	77936709	87.43	31633042.0										
RSQ_054_R1					79.46622796076424	46.0	144.66762176763407	27.27272727272727	36179072.0					
RSQ_054_R2					63.594818447567484	47.0	144.520038048516	27.27272727272727	36179072.0					
RSQ_054_sorted											219	297.378602		
