Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
PP091_sorted_q10_mrkDup	3461860	2472642	0	0	0	0	0	0	0	0	0	0	676714	0	312504	71.42524538831726
PP091_sorted_q10_rmDup	994147	695365	0	0	0	0	0	0	0	0	0	0	235253	0	63529	69.94589331356428
PP097_sorted_q10_mrkDup	4197147	3189009	0	0	0	0	0	0	0	0	0	0	712032	0	296106	75.98039811328981
PP097_sorted_q10_rmDup	1108693	769641	0	0	0	0	0	0	0	0	0	0	271861	0	67191	69.41876606057762
PP098_sorted_q10_mrkDup	15359348	8544444	0	0	0	0	0	0	0	0	0	0	5783476	0	1031428	55.63025201330161
PP098_sorted_q10_rmDup	2065598	1091284	0	0	0	0	0	0	0	0	0	0	876385	0	97929	52.83138345408932
PP099_sorted_q10_mrkDup	7192604	4722988	0	0	0	0	0	0	0	0	0	0	1821394	0	648222	65.66450759697045
PP099_sorted_q10_rmDup	1516413	959075	0	0	0	0	0	0	0	0	0	0	467777	0	89561	63.246292401872054
PP102_sorted_q10_mrkDup	8125668	6663850	0	0	0	0	0	0	0	0	0	0	673177	0	788641	82.00987291137172
PP102_sorted_q10_rmDup	1803548	1438329	0	0	0	0	0	0	0	0	0	0	231907	0	133312	79.74997061347965
PP103_sorted_q10_mrkDup	15546153	6046035	0	0	0	0	0	0	0	0	0	0	8751881	0	748237	38.890875446806675
PP103_sorted_q10_rmDup	4964613	1525974	0	0	0	0	0	0	0	0	0	0	3304208	0	134431	30.73701817241344
PP105_sorted_q10_mrkDup	8480237	6489589	0	0	0	0	0	0	0	0	0	0	1270397	0	720251	76.5260334115662
PP105_sorted_q10_rmDup	1278519	915849	0	0	0	0	0	0	0	0	0	0	279263	0	83407	71.63358542188266
PP109_sorted_q10_mrkDup	15097974	10175193	0	0	0	0	0	0	0	0	0	0	3941396	0	981385	67.39442656345813
PP109_sorted_q10_rmDup	2964582	1667875	0	0	0	0	0	0	0	0	0	0	1147398	0	149309	56.260039357993804
PP111_sorted_q10_mrkDup	7915613	5459071	0	0	0	0	0	0	0	0	0	0	1720473	0	736069	68.96586530948393
PP111_sorted_q10_rmDup	1046430	645372	0	0	0	0	0	0	0	0	0	0	340494	0	60564	61.67369054786273
PP114_sorted_q10_mrkDup	2644119	1591724	0	0	0	0	0	0	0	0	0	0	827943	0	224452	60.19865217866518
PP114_sorted_q10_rmDup	587915	332945	0	0	0	0	0	0	0	0	0	0	223887	0	31083	56.63148584404208
PP116_sorted_q10_mrkDup	5226317	4068149	0	0	0	0	0	0	0	0	0	0	695702	0	462466	77.83969093340491
PP116_sorted_q10_rmDup	984145	700121	0	0	0	0	0	0	0	0	0	0	220994	0	63030	71.14002509792763
RSQ_047_sorted_q10_mrkDup	20199746	17600481	0	0	0	0	0	0	0	0	0	0	673221	0	1926044	87.13218968198908
RSQ_047_sorted_q10_rmDup	3483245	2971996	0	0	0	0	0	0	0	0	0	0	221766	0	289483	85.32262301388505
RSQ_066_sorted_q10_mrkDup	26404100	15242676	0	0	0	0	0	0	0	0	0	0	9522792	0	1638632	57.728443688669564
RSQ_066_sorted_q10_rmDup	2179441	842819	0	0	0	0	0	0	0	0	0	0	1262326	0	74296	38.67133820094235
