Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
PP091_sorted_FR	PP091_sorted	120.0	90.0	36.0	12.0	2772523.0	130.753272	72.277639	7410486.0	FR	23.0	39.0	59.0	63.0	73.0	99.0	167.0	587.0	5383.0	19695.0	87899.0			
PP097_sorted_FR	PP097_sorted	155.0	90.0	65.0	12.0	2281394.0	169.532813	116.090839	6350265.0	FR	23.0	51.0	81.0	109.0	131.0	141.0	197.0	445.0	4775.0	17355.0	87829.0			
PP098_sorted_FR	PP098_sorted	191.0	90.0	91.0	12.0	3588654.0	222.158757	179.012664	20812999.0	FR	35.0	67.0	97.0	135.0	183.0	209.0	353.0	1809.0	7479.0	19639.0	98297.0			
PP099_sorted_FR	PP099_sorted	155.0	90.0	65.0	12.0	2223543.0	167.405211	122.185197	13018687.0	FR	33.0	67.0	101.0	131.0	131.0	147.0	231.0	835.0	6249.0	18641.0	97025.0			
PP102_sorted_FR	PP102_sorted	210.0	90.0	115.0	12.0	2286869.0	242.963397	218.328042	10522994.0	FR	43.0	83.0	123.0	169.0	231.0	247.0	497.0	3045.0	13115.0	32101.0	149423.0			
PP103_sorted_FR	PP103_sorted	155.0	90.0	39.0	12.0	3404084.0	163.387167	75.650966	18865017.0	FR	11.0	23.0	37.0	53.0	79.0	113.0	143.0	279.0	3037.0	12393.0	87829.0			
PP105_sorted_FR	PP105_sorted	194.0	90.0	103.0	12.0	1929212.0	225.849459	201.483588	11709312.0	FR	37.0	75.0	113.0	159.0	207.0	219.0	415.0	2411.0	9479.0	24441.0	113261.0			
PP109_sorted_FR	PP109_sorted	184.0	90.0	66.0	12.0	3493763.0	199.728559	123.067887	17674090.0	FR	27.0	51.0	75.0	101.0	133.0	183.0	225.0	625.0	6043.0	18199.0	99089.0			
PP111_sorted_FR	PP111_sorted	166.0	90.0	75.0	12.0	2817290.0	179.632912	132.76706	11719403.0	FR	25.0	51.0	81.0	115.0	151.0	163.0	237.0	857.0	6183.0	18235.0	95989.0			
PP114_sorted_FR	PP114_sorted	158.0	90.0	68.0	11.0	3655527.0	167.819955	120.059936	4379131.0	FR	25.0	49.0	81.0	109.0	137.0	149.0	223.0	833.0	5903.0	17075.0	88345.0			
PP116_sorted_FR	PP116_sorted	181.0	90.0	93.0	11.0	2240909.0	198.438997	183.364735	7859742.0	FR	39.0	77.0	121.0	167.0	187.0	245.0	365.0	2369.0	8999.0	22829.0	101767.0			
RSQ_041b_sorted_FR	RSQ_041b_sorted	384.0	207.0	223.0	12.0	2358595.0	476.306061	511.415662	31845757.0	FR	123.0	225.0	311.0	381.0	447.0	557.0	2111.0	7515.0	24373.0	51493.0	152221.0			
RSQ_047_sorted_FR	RSQ_047_sorted	271.0	207.0	129.0	12.0	2191709.0	304.115446	253.487632	22267228.0	FR	57.0	113.0	163.0	209.0	259.0	325.0	559.0	2963.0	11875.0	29011.0	118061.0			
RSQ_049_sorted_FR	RSQ_049_sorted	319.0	207.0	179.0	11.0	2165321.0	416.512469	437.442865	44461371.0	FR	95.0	179.0	241.0	295.0	359.0	477.0	1939.0	5345.0	15381.0	33255.0	125037.0			
RSQ_054_sorted_FR	RSQ_054_sorted	267.0	180.0	122.0	12.0	1603299.0	297.378602	231.542119	33556483.0	FR	55.0	109.0	155.0	197.0	245.0	305.0	499.0	2563.0	11747.0	29365.0	126781.0			
RSQ_066_sorted_FR	RSQ_066_sorted	236.0	154.0	104.0	12.0	3357491.0	268.70914	215.678655	28434177.0	FR	73.0	125.0	155.0	179.0	209.0	275.0	845.0	4025.0	15561.0	36627.0	144861.0			
