Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
PP035_sorted_q10_mrkDup	15092580	12083411	0	0	0	0	0	0	0	0	0	0	1697750	0	1311419	80.06193109461735
PP035_sorted_q10_rmDup	2981410	2203487	0	0	0	0	0	0	0	0	0	0	574040	0	203883	73.90754710019756
PP036_sorted_q10_mrkDup	7722559	4335255	0	0	0	0	0	0	0	0	0	0	2798261	0	589043	56.137544562624896
PP036_sorted_q10_rmDup	1113882	584980	0	0	0	0	0	0	0	0	0	0	475260	0	53642	52.51723252552784
PP041_sorted_q10_mrkDup	6736934	5025088	0	0	0	0	0	0	0	0	0	0	1061598	0	650248	74.59013254397327
PP041_sorted_q10_rmDup	1250546	857140	0	0	0	0	0	0	0	0	0	0	315151	0	78255	68.54126117711785
PP043_sorted_q10_mrkDup	7605818	4726355	0	0	0	0	0	0	0	0	0	0	2228351	0	651112	62.14131077025509
PP043_sorted_q10_rmDup	997887	551634	0	0	0	0	0	0	0	0	0	0	396677	0	49576	55.28020707755488
PP046_sorted_q10_mrkDup	4735354	3559285	0	0	0	0	0	0	0	0	0	0	743202	0	432867	75.16407432263776
PP046_sorted_q10_rmDup	827274	579094	0	0	0	0	0	0	0	0	0	0	194101	0	54079	70.0002659336568
PP047_sorted_q10_mrkDup	14844895	12988705	0	0	0	0	0	0	0	0	0	0	734317	0	1121873	87.49610556356242
PP047_sorted_q10_rmDup	2982261	2526997	0	0	0	0	0	0	0	0	0	0	249877	0	205387	84.73426705442616
PP048_sorted_q10_mrkDup	9134221	6695439	0	0	0	0	0	0	0	0	0	0	1609665	0	829117	73.30060220789491
PP048_sorted_q10_rmDup	1573668	1067067	0	0	0	0	0	0	0	0	0	0	407706	0	98895	67.80763159700776
PP049_sorted_q10_mrkDup	10672682	8852197	0	0	0	0	0	0	0	0	0	0	966943	0	853542	82.94257244805007
PP049_sorted_q10_rmDup	530048	384178	0	0	0	0	0	0	0	0	0	0	115228	0	30642	72.47985088142961
PP050_sorted_q10_mrkDup	5474343	4332092	0	0	0	0	0	0	0	0	0	0	561628	0	580623	79.13446417223035
PP050_sorted_q10_rmDup	657656	485736	0	0	0	0	0	0	0	0	0	0	127186	0	44734	73.85867383556145
PP055_sorted_q10_mrkDup	16486262	13861389	0	0	0	0	0	0	0	0	0	0	912140	0	1712733	84.07842238586285
PP055_sorted_q10_rmDup	2078447	1706320	0	0	0	0	0	0	0	0	0	0	211640	0	160487	82.09591103357458
PP058_sorted_q10_mrkDup	6161698	4990867	0	0	0	0	0	0	0	0	0	0	420673	0	750158	80.9982410692637
PP058_sorted_q10_rmDup	932273	755546	0	0	0	0	0	0	0	0	0	0	107395	0	69332	81.04342826618384
PP060_sorted_q10_mrkDup	5411698	3543981	0	0	0	0	0	0	0	0	0	0	1451743	0	415974	65.48741263832535
PP060_sorted_q10_rmDup	1004864	575409	0	0	0	0	0	0	0	0	0	0	379167	0	50288	57.26237580408892
PP061_sorted_q10_mrkDup	13970992	10317865	0	0	0	0	0	0	0	0	0	0	2497367	0	1155760	73.85205717675595
PP061_sorted_q10_rmDup	2110296	1423851	0	0	0	0	0	0	0	0	0	0	557320	0	129125	67.47162483367262
PP062_sorted_q10_mrkDup	23166699	19479001	0	0	0	0	0	0	0	0	0	0	1589897	0	2097801	84.08190135331753
PP062_sorted_q10_rmDup	1718985	1385083	0	0	0	0	0	0	0	0	0	0	207095	0	126807	80.57563038653625
PP073_sorted_q10_mrkDup	2738485	1857564	0	0	0	0	0	0	0	0	0	0	543737	0	337184	67.83181211509284
PP073_sorted_q10_rmDup	567033	373948	0	0	0	0	0	0	0	0	0	0	154140	0	38945	65.94818996425252
PP074_sorted_q10_mrkDup	6158905	5322395	0	0	0	0	0	0	0	0	0	0	361302	0	475208	86.41787785328722
PP074_sorted_q10_rmDup	1539010	1287806	0	0	0	0	0	0	0	0	0	0	138279	0	112925	83.67755895023424
PP075_sorted_q10_mrkDup	5955590	4665446	0	0	0	0	0	0	0	0	0	0	757499	0	532645	78.3372596165955
PP075_sorted_q10_rmDup	977873	707655	0	0	0	0	0	0	0	0	0	0	203869	0	66349	72.36675928264714
PP078_sorted_q10_mrkDup	15417041	12488267	0	0	0	0	0	0	0	0	0	0	1279980	0	1648794	81.00300829452293
PP078_sorted_q10_rmDup	3526678	2812750	0	0	0	0	0	0	0	0	0	0	451036	0	262892	79.7563599512062
PP084_sorted_q10_mrkDup	11690725	4373542	0	0	0	0	0	0	0	0	0	0	6826936	0	490247	37.410357355938146
PP084_sorted_q10_rmDup	2393752	755358	0	0	0	0	0	0	0	0	0	0	1579607	0	58787	31.55539922264295
PP087_sorted_q10_mrkDup	2988692	2163008	0	0	0	0	0	0	0	0	0	0	557873	0	267811	72.37306487252617
PP087_sorted_q10_rmDup	970030	658586	0	0	0	0	0	0	0	0	0	0	248707	0	62737	67.8933641227591
