Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
PP035	33442882.0	192.0	15094154.0	45.13	190.81	5685046.0	5509212.0	5595188.0	37042.0	3687.0	49129.0	0.6	0.02	1.46	0.02	1.15	5235002.0	15.65	278875.0	0.83	0.0	38.28	0.09	0	12804746	30105
PP036	40187444.0	188.0	7724190.0	19.22	190.64	3581122.0	3494158.0	3523622.0	25308.0	2621.0	29571.0	0.54	0.02	1.55	0.02	1.25	4998856.0	12.44	466812.0	1.16	0.0	67.03	0.15	0	26937306	60280
PP041	37684837.0	189.0	6738061.0	17.88	190.9	3881166.0	3782923.0	3825654.0	26588.0	3064.0	25860.0	0.5	0.02	1.48	0.01	1.22	2873399.0	7.62	185813.0	0.49	0.0	73.89	0.11	0	27846110	41454
PP043	33204351.0	195.0	7607328.0	22.91	193.32	3595081.0	3510824.0	3534762.0	26992.0	2592.0	30735.0	0.54	0.02	1.51	0.01	1.25	3702712.0	11.15	204234.0	0.62	0.0	65.19	0.13	0	21646909	43168
PP046	31376718.0	186.0	4736442.0	15.1	188.96	2405371.0	2337116.0	2366300.0	16999.0	1663.0	20409.0	0.6	0.02	1.52	0.02	1.18	2404756.0	7.66	191020.0	0.61	0.0	76.47	0.16	0	23994296	50204
PP047	33169884.0	192.0	14846815.0	44.76	192.08	6605167.0	6417545.0	6517304.0	43429.0	5459.0	38975.0	0.62	0.02	1.44	0.02	1.15	2691185.0	8.11	134553.0	0.41	0.0	46.63	0.09	0	15467477	29854
PP048	34282672.0	191.0	9135400.0	26.65	191.62	4339432.0	4210009.0	4268615.0	29916.0	3346.0	37555.0	0.56	0.02	1.45	0.02	1.19	3009137.0	8.78	210850.0	0.62	0.0	63.86	0.1	0	21893002	34283
PP049	39316136.0	187.0	10674236.0	27.15	192.19	6534353.0	6401917.0	6449455.0	50290.0	5864.0	28744.0	0.47	0.02	1.54	0.01	1.34	4941784.0	12.57	161857.0	0.41	0.0	59.68	0.19	0	23463559	74700
PP050	42797478.0	190.0	5475655.0	12.79	191.27	3845632.0	3766405.0	3788270.0	28354.0	3166.0	25842.0	0.51	0.02	1.72	0.01	1.26	3755064.0	8.77	207357.0	0.48	0.0	77.86	0.09	0	33320886	38516
PP055	37083917.0	193.0	16488253.0	44.46	192.21	7968888.0	7692174.0	7849034.0	53102.0	5850.0	60902.0	0.54	0.02	1.5	0.01	1.16	3072562.0	8.29	170175.0	0.46	0.0	46.71	0.08	0	17323258	29669
PP058	38882465.0	193.0	6162687.0	15.85	192.1	3528681.0	3431371.0	3469518.0	25716.0	2825.0	30622.0	0.51	0.02	1.58	0.01	1.2	2468405.0	6.35	134199.0	0.35	0.0	77.39	0.07	0	30089957	27217
PP060	39150475.0	188.0	5412760.0	13.83	190.62	2518696.0	2451846.0	2479818.0	18159.0	2175.0	18544.0	0.52	0.02	1.39	0.02	1.22	2261047.0	5.78	144549.0	0.37	0.0	79.93	0.1	0	31292969	39150
PP061	39992168.0	194.0	13972669.0	34.94	192.5	6304608.0	6102235.0	6215023.0	39137.0	5079.0	45369.0	0.51	0.02	1.53	0.01	1.2	3726981.0	9.32	230000.0	0.58	0.0	55.1	0.07	0	22034525	27993
PP062	38894367.0	194.0	23169571.0	59.57	192.77	11880978.0	11518924.0	11715260.0	81257.0	10882.0	73579.0	0.48	0.02	1.51	0.02	1.18	4964440.0	12.76	264238.0	0.68	0.0	26.89	0.1	0	10457229	38889
PP073	45902913.0	187.0	2739144.0	5.97	185.95	1286253.0	1225891.0	1250423.0	9471.0	1087.0	25272.0	0.56	0.02	1.48	0.02	1.22	3967197.0	8.64	309806.0	0.67	0.0	84.63	0.08	0	38850041	36725
PP074	36163558.0	190.0	6159650.0	17.03	190.13	2374300.0	2297447.0	2334967.0	14580.0	1954.0	22799.0	0.48	0.02	1.38	0.03	1.12	1995158.0	5.52	151843.0	0.42	0.0	76.97	0.06	0	27835209	21698
PP075	33491588.0	182.0	5956777.0	17.79	184.7	2248794.0	2155485.0	2196996.0	16073.0	2002.0	33723.0	0.51	0.02	1.51	0.03	1.14	3214944.0	9.6	226849.0	0.68	0.0	71.79	0.15	0	24042782	50236
PP078	38279182.0	191.0	15419008.0	40.28	190.34	7317568.0	7036757.0	7163366.0	48977.0	5674.0	99551.0	0.6	0.01	1.38	0.02	1.17	6031300.0	15.76	466094.0	1.22	0.0	42.59	0.15	0	16305353	57427
PP084	60420211.0	185.0	11692082.0	19.35	185.2	1875069.0	1710990.0	1803263.0	15056.0	1402.0	55348.0	0.61	0.02	1.51	0.02	1.27	21690553.0	35.9	2113797.0	3.5	0.0	41.04	0.21	0	24796894	126885
PP087	37005046.0	190.0	2989132.0	8.08	190.01	1194266.0	1148798.0	1175431.0	7820.0	815.0	10200.0	0.52	0.02	1.43	0.02	1.16	1118442.0	3.02	73362.0	0.2	0.0	88.66	0.04	0	32809308	14802
