Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
PP035_sorted_FR	PP035_sorted	171.0	90.0	79.0	11.0	2893085.0	190.726369	140.954518	20327250.0	FR	27.0	55.0	83.0	121.0	159.0	175.0	247.0	763.0	6785.0	22187.0	89847.0			
PP036_sorted_FR	PP036_sorted	149.0	90.0	59.0	12.0	2242349.0	157.945674	106.568654	12720540.0	FR	21.0	43.0	69.0	101.0	119.0	131.0	191.0	653.0	5131.0	15327.0	87841.0			
PP041_sorted_FR	PP041_sorted	205.0	90.0	115.0	11.0	2582602.0	239.469054	233.923408	9609834.0	FR	45.0	87.0	129.0	183.0	231.0	261.0	577.0	3035.0	11017.0	27721.0	109375.0			
PP043_sorted_FR	PP043_sorted	178.0	90.0	76.0	12.0	2985850.0	196.47147	140.429111	11308059.0	FR	25.0	51.0	75.0	109.0	153.0	179.0	251.0	1221.0	6433.0	18487.0	89169.0			
PP046_sorted_FR	PP046_sorted	163.0	90.0	74.0	11.0	1772881.0	178.079652	142.016378	7139510.0	FR	27.0	55.0	87.0	123.0	149.0	179.0	275.0	1379.0	7337.0	20833.0	89771.0			
PP047_sorted_FR	PP047_sorted	239.0	90.0	118.0	12.0	1805033.0	268.22561	234.082363	17535697.0	FR	53.0	97.0	141.0	183.0	237.0	301.0	489.0	2889.0	11765.0	28587.0	108453.0			
PP048_sorted_FR	PP048_sorted	193.0	90.0	99.0	11.0	2326724.0	225.271641	195.039328	12142965.0	FR	33.0	69.0	103.0	145.0	199.0	223.0	369.0	2015.0	9885.0	26561.0	120617.0			
PP049_sorted_FR	PP049_sorted	249.0	90.0	159.0	12.0	1188897.0	301.276609	345.143313	15613783.0	FR	75.0	141.0	229.0	319.0	319.0	347.0	967.0	4441.0	15215.0	32561.0	123683.0			
PP050_sorted_FR	PP050_sorted	192.0	90.0	102.0	12.0	2938541.0	218.392062	216.032682	9228676.0	FR	41.0	95.0	165.0	205.0	205.0	237.0	623.0	2971.0	10147.0	24037.0	105485.0			
PP055_sorted_FR	PP055_sorted	208.0	90.0	96.0	12.0	1915914.0	232.195471	184.657994	19558344.0	FR	39.0	77.0	113.0	149.0	193.0	249.0	517.0	3003.0	12805.0	31963.0	146943.0			
PP058_sorted_FR	PP058_sorted	207.0	90.0	117.0	12.0	2760107.0	244.526005	237.177795	8629733.0	FR	41.0	85.0	127.0	177.0	235.0	255.0	559.0	2991.0	11019.0	26759.0	129549.0			
PP060_sorted_FR	PP060_sorted	177.0	90.0	87.0	12.0	4001316.0	198.000248	165.177877	7672092.0	FR	29.0	59.0	91.0	135.0	175.0	189.0	293.0	1545.0	7843.0	21713.0	95137.0			
PP061_sorted_FR	PP061_sorted	214.0	90.0	106.0	12.0	2465871.0	244.294441	207.431406	17697606.0	FR	45.0	85.0	121.0	161.0	213.0	253.0	399.0	2227.0	10595.0	27925.0	125789.0			
PP062_sorted_FR	PP062_sorted	229.0	90.0	122.0	11.0	2656493.0	264.837592	243.19899	28130687.0	FR	51.0	97.0	141.0	185.0	245.0	285.0	641.0	3385.0	13355.0	31323.0	131839.0			
PP073_sorted_FR	PP073_sorted	108.0	90.0	29.0	12.0	2060909.0	121.148872	61.861531	6705252.0	FR	17.0	37.0	37.0	41.0	59.0	89.0	143.0	289.0	3151.0	14095.0	88015.0			
PP074_sorted_FR	PP074_sorted	178.0	90.0	87.0	12.0	1645993.0	203.351826	163.061033	8153771.0	FR	33.0	65.0	99.0	137.0	175.0	197.0	273.0	863.0	6673.0	20513.0	97387.0			
PP075_sorted_FR	PP075_sorted	137.0	90.0	52.0	11.0	2185628.0	148.693253	98.82782	9169803.0	FR	25.0	47.0	65.0	91.0	105.0	135.0	181.0	407.0	4149.0	15171.0	88135.0			
PP078_sorted_FR	PP078_sorted	175.0	90.0	85.0	12.0	2196165.0	195.670056	160.583283	21447918.0	FR	33.0	65.0	99.0	135.0	171.0	199.0	299.0	1595.0	9865.0	29225.0	141889.0			
PP084_sorted_FR	PP084_sorted	90.0	90.0	19.0	11.0	3204023.0	104.427368	47.148341	33378171.0	FR	1.0	3.0	5.0	19.0	39.0	79.0	111.0	149.0	323.0	933.0	79395.0			
PP087_sorted_FR	PP087_sorted	166.0	90.0	75.0	12.0	2314402.0	183.205871	135.98749	4106888.0	FR	25.0	51.0	81.0	115.0	151.0	171.0	243.0	831.0	7241.0	21905.0	107405.0			
