Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
PP041_sorted_q10_mrkDup	13473868	0	0	0	0	0	10972776	0	13473868	0	100.0	nan	13473868	0	6736934	0	6736934	0	13473868	0	100.0	nan	13473868	0	0	0	0.0	nan	0	0	0	0	13473868
PP041_sorted_q10_rmDup	2501092	0	0	0	0	0	0	0	2501092	0	100.0	nan	2501092	0	1250546	0	1250546	0	2501092	0	100.0	nan	2501092	0	0	0	0.0	nan	0	0	0	0	2501092
PP043	50458943	0	27840844	0	0	0	0	0	50458943	0	100.0	nan	22618099	0	11309194	0	11308905	0	22616118	0	99.99	nan	22616118	0	1981	0	0.01	nan	0	0	0	0	50458943
PP043_sorted_q10	15211636	0	0	0	0	0	0	0	15211636	0	100.0	nan	15211636	0	7605818	0	7605818	0	15211636	0	100.0	nan	15211636	0	0	0	0.0	nan	0	0	0	0	15211636
PP043_sorted_q10_mrkDup	15211636	0	0	0	0	0	13215862	0	15211636	0	100.0	nan	15211636	0	7605818	0	7605818	0	15211636	0	100.0	nan	15211636	0	0	0	0.0	nan	0	0	0	0	15211636
PP043_sorted_q10_rmDup	1995774	0	0	0	0	0	0	0	1995774	0	100.0	nan	1995774	0	997887	0	997887	0	1995774	0	100.0	nan	1995774	0	0	0	0.0	nan	0	0	0	0	1995774
PP046	34128211	0	19847503	0	0	0	0	0	34128211	0	100.0	nan	14280708	0	7140239	0	7140469	0	14279020	0	99.99	nan	14279020	0	1688	0	0.01	nan	0	0	0	0	34128211
PP046_sorted_q10	9470708	0	0	0	0	0	0	0	9470708	0	100.0	nan	9470708	0	4735354	0	4735354	0	9470708	0	100.0	nan	9470708	0	0	0	0.0	nan	0	0	0	0	9470708
PP046_sorted_q10_mrkDup	9470708	0	0	0	0	0	7816160	0	9470708	0	100.0	nan	9470708	0	4735354	0	4735354	0	9470708	0	100.0	nan	9470708	0	0	0	0.0	nan	0	0	0	0	9470708
PP046_sorted_q10_rmDup	1654548	0	0	0	0	0	0	0	1654548	0	100.0	nan	1654548	0	827274	0	827274	0	1654548	0	100.0	nan	1654548	0	0	0	0.0	nan	0	0	0	0	1654548
PP047	52513975	0	17440278	0	0	0	0	0	52513975	0	100.0	nan	35073697	0	17537238	0	17536459	0	35071394	0	99.99	nan	35071394	0	2303	0	0.01	nan	0	0	0	0	52513975
PP047_sorted_q10	29689790	0	0	0	0	0	0	0	29689790	0	100.0	nan	29689790	0	14844895	0	14844895	0	29689790	0	100.0	nan	29689790	0	0	0	0.0	nan	0	0	0	0	29689790
PP047_sorted_q10_mrkDup	29689790	0	0	0	0	0	23725268	0	29689790	0	100.0	nan	29689790	0	14844895	0	14844895	0	29689790	0	100.0	nan	29689790	0	0	0	0.0	nan	0	0	0	0	29689790
PP047_sorted_q10_rmDup	5964522	0	0	0	0	0	0	0	5964522	0	100.0	nan	5964522	0	2982261	0	2982261	0	5964522	0	100.0	nan	5964522	0	0	0	0.0	nan	0	0	0	0	5964522
PP048	46841653	0	22554151	0	0	0	0	0	46841653	0	100.0	nan	24287502	0	12143873	0	12143629	0	24285930	0	99.99	nan	24285930	0	1572	0	0.01	nan	0	0	0	0	46841653
PP048_sorted_q10	18268442	0	0	0	0	0	0	0	18268442	0	100.0	nan	18268442	0	9134221	0	9134221	0	18268442	0	100.0	nan	18268442	0	0	0	0.0	nan	0	0	0	0	18268442
PP048_sorted_q10_mrkDup	18268442	0	0	0	0	0	15121106	0	18268442	0	100.0	nan	18268442	0	9134221	0	9134221	0	18268442	0	100.0	nan	18268442	0	0	0	0.0	nan	0	0	0	0	18268442
PP048_sorted_q10_rmDup	3147336	0	0	0	0	0	0	0	3147336	0	100.0	nan	3147336	0	1573668	0	1573668	0	3147336	0	100.0	nan	3147336	0	0	0	0.0	nan	0	0	0	0	3147336
PP049	56745591	0	25515788	0	0	0	0	0	56745591	0	100.0	nan	31229803	0	15615066	0	15614737	0	31227566	0	99.99	nan	31227566	0	2237	0	0.01	nan	0	0	0	0	56745591
PP049_sorted_q10	21345364	0	0	0	0	0	0	0	21345364	0	100.0	nan	21345364	0	10672682	0	10672682	0	21345364	0	100.0	nan	21345364	0	0	0	0.0	nan	0	0	0	0	21345364
PP049_sorted_q10_mrkDup	21345364	0	0	0	0	0	20285268	0	21345364	0	100.0	nan	21345364	0	10672682	0	10672682	0	21345364	0	100.0	nan	21345364	0	0	0	0.0	nan	0	0	0	0	21345364
PP049_sorted_q10_rmDup	1060096	0	0	0	0	0	0	0	1060096	0	100.0	nan	1060096	0	530048	0	530048	0	1060096	0	100.0	nan	1060096	0	0	0	0.0	nan	0	0	0	0	1060096
PP050	43207172	0	24747777	0	0	0	0	0	43207172	0	100.0	nan	18459395	0	9229537	0	9229858	0	18457352	0	99.99	nan	18457352	0	2043	0	0.01	nan	0	0	0	0	43207172
PP050_sorted_q10	10948686	0	0	0	0	0	0	0	10948686	0	100.0	nan	10948686	0	5474343	0	5474343	0	10948686	0	100.0	nan	10948686	0	0	0	0.0	nan	0	0	0	0	10948686
PP050_sorted_q10_mrkDup	10948686	0	0	0	0	0	9633374	0	10948686	0	100.0	nan	10948686	0	5474343	0	5474343	0	10948686	0	100.0	nan	10948686	0	0	0	0.0	nan	0	0	0	0	10948686
PP050_sorted_q10_rmDup	1315312	0	0	0	0	0	0	0	1315312	0	100.0	nan	1315312	0	657656	0	657656	0	1315312	0	100.0	nan	1315312	0	0	0	0.0	nan	0	0	0	0	1315312
PP055	60072950	0	20953791	0	0	0	0	0	60072950	0	100.0	nan	39119159	0	19559971	0	19559188	0	39116688	0	99.99	nan	39116688	0	2471	0	0.01	nan	0	0	0	0	60072950
PP055_sorted_q10	32972524	0	0	0	0	0	0	0	32972524	0	100.0	nan	32972524	0	16486262	0	16486262	0	32972524	0	100.0	nan	32972524	0	0	0	0.0	nan	0	0	0	0	32972524
PP055_sorted_q10_mrkDup	32972524	0	0	0	0	0	28815630	0	32972524	0	100.0	nan	32972524	0	16486262	0	16486262	0	32972524	0	100.0	nan	32972524	0	0	0	0.0	nan	0	0	0	0	32972524
PP055_sorted_q10_rmDup	4156894	0	0	0	0	0	0	0	4156894	0	100.0	nan	4156894	0	2078447	0	2078447	0	4156894	0	100.0	nan	4156894	0	0	0	0.0	nan	0	0	0	0	4156894
PP058	34511730	0	17250905	0	0	0	0	0	34511730	0	100.0	nan	17260825	0	8630556	0	8630269	0	17259466	0	99.99	nan	17259466	0	1359	0	0.01	nan	0	0	0	0	34511730
PP058_sorted_q10	12323396	0	0	0	0	0	0	0	12323396	0	100.0	nan	12323396	0	6161698	0	6161698	0	12323396	0	100.0	nan	12323396	0	0	0	0.0	nan	0	0	0	0	12323396
PP058_sorted_q10_mrkDup	12323396	0	0	0	0	0	10458850	0	12323396	0	100.0	nan	12323396	0	6161698	0	6161698	0	12323396	0	100.0	nan	12323396	0	0	0	0.0	nan	0	0	0	0	12323396
PP058_sorted_q10_rmDup	1864546	0	0	0	0	0	0	0	1864546	0	100.0	nan	1864546	0	932273	0	932273	0	1864546	0	100.0	nan	1864546	0	0	0	0.0	nan	0	0	0	0	1864546
PP060	31109928	0	15764029	0	0	0	0	0	31109928	0	100.0	nan	15345899	0	7672794	0	7673105	0	15344184	0	99.99	nan	15344184	0	1715	0	0.01	nan	0	0	0	0	31109928
PP060_sorted_q10	10823396	0	0	0	0	0	0	0	10823396	0	100.0	nan	10823396	0	5411698	0	5411698	0	10823396	0	100.0	nan	10823396	0	0	0	0.0	nan	0	0	0	0	10823396
PP060_sorted_q10_mrkDup	10823396	0	0	0	0	0	8813668	0	10823396	0	100.0	nan	10823396	0	5411698	0	5411698	0	10823396	0	100.0	nan	10823396	0	0	0	0.0	nan	0	0	0	0	10823396
PP060_sorted_q10_rmDup	2009728	0	0	0	0	0	0	0	2009728	0	100.0	nan	2009728	0	1004864	0	1004864	0	2009728	0	100.0	nan	2009728	0	0	0	0.0	nan	0	0	0	0	2009728
PP061	62202569	0	26805313	0	0	0	0	0	62202569	0	100.0	nan	35397256	0	17699082	0	17698174	0	35395212	0	99.99	nan	35395212	0	2044	0	0.01	nan	0	0	0	0	62202569
PP061_sorted_q10	27941984	0	0	0	0	0	0	0	27941984	0	100.0	nan	27941984	0	13970992	0	13970992	0	27941984	0	100.0	nan	27941984	0	0	0	0.0	nan	0	0	0	0	27941984
PP061_sorted_q10_mrkDup	27941984	0	0	0	0	0	23721392	0	27941984	0	100.0	nan	27941984	0	13970992	0	13970992	0	27941984	0	100.0	nan	27941984	0	0	0	0.0	nan	0	0	0	0	27941984
PP061_sorted_q10_rmDup	4220592	0	0	0	0	0	0	0	4220592	0	100.0	nan	4220592	0	2110296	0	2110296	0	4220592	0	100.0	nan	4220592	0	0	0	0.0	nan	0	0	0	0	4220592
PP062	87191727	0	30927029	0	0	0	0	0	87191727	0	100.0	nan	56264698	0	28133011	0	28131687	0	56261374	0	99.99	nan	56261374	0	3324	0	0.01	nan	0	0	0	0	87191727
PP062_sorted_q10	46333398	0	0	0	0	0	0	0	46333398	0	100.0	nan	46333398	0	23166699	0	23166699	0	46333398	0	100.0	nan	46333398	0	0	0	0.0	nan	0	0	0	0	46333398
PP062_sorted_q10_mrkDup	46333398	0	0	0	0	0	42895428	0	46333398	0	100.0	nan	46333398	0	23166699	0	23166699	0	46333398	0	100.0	nan	46333398	0	0	0	0.0	nan	0	0	0	0	46333398
PP062_sorted_q10_rmDup	3437970	0	0	0	0	0	0	0	3437970	0	100.0	nan	3437970	0	1718985	0	1718985	0	3437970	0	100.0	nan	3437970	0	0	0	0.0	nan	0	0	0	0	3437970
PP073	45373512	0	31961919	0	0	0	0	0	45373512	0	100.0	nan	13411593	0	6705661	0	6705932	0	13410504	0	99.99	nan	13410504	0	1089	0	0.01	nan	0	0	0	0	45373512
PP073_sorted_q10	5476970	0	0	0	0	0	0	0	5476970	0	100.0	nan	5476970	0	2738485	0	2738485	0	5476970	0	100.0	nan	5476970	0	0	0	0.0	nan	0	0	0	0	5476970
PP073_sorted_q10_mrkDup	5476970	0	0	0	0	0	4342904	0	5476970	0	100.0	nan	5476970	0	2738485	0	2738485	0	5476970	0	100.0	nan	5476970	0	0	0	0.0	nan	0	0	0	0	5476970
PP073_sorted_q10_rmDup	1134066	0	0	0	0	0	0	0	1134066	0	100.0	nan	1134066	0	567033	0	567033	0	1134066	0	100.0	nan	1134066	0	0	0	0.0	nan	0	0	0	0	1134066
PP074	31430542	0	15121963	0	0	0	0	0	31430542	0	100.0	nan	16308579	0	8154337	0	8154242	0	16307542	0	99.99	nan	16307542	0	1037	0	0.01	nan	0	0	0	0	31430542
PP074_sorted_q10	12317810	0	0	0	0	0	0	0	12317810	0	100.0	nan	12317810	0	6158905	0	6158905	0	12317810	0	100.0	nan	12317810	0	0	0	0.0	nan	0	0	0	0	12317810
PP074_sorted_q10_mrkDup	12317810	0	0	0	0	0	9239790	0	12317810	0	100.0	nan	12317810	0	6158905	0	6158905	0	12317810	0	100.0	nan	12317810	0	0	0	0.0	nan	0	0	0	0	12317810
PP074_sorted_q10_rmDup	3078020	0	0	0	0	0	0	0	3078020	0	100.0	nan	3078020	0	1539010	0	1539010	0	3078020	0	100.0	nan	3078020	0	0	0	0.0	nan	0	0	0	0	3078020
PP075	44783452	0	26441928	0	0	0	0	0	44783452	0	100.0	nan	18341524	0	9170482	0	9171042	0	18339606	0	99.99	nan	18339606	0	1918	0	0.01	nan	0	0	0	0	44783452
PP075_sorted_q10	11911180	0	0	0	0	0	0	0	11911180	0	100.0	nan	11911180	0	5955590	0	5955590	0	11911180	0	100.0	nan	11911180	0	0	0	0.0	nan	0	0	0	0	11911180
PP075_sorted_q10_mrkDup	11911180	0	0	0	0	0	9955434	0	11911180	0	100.0	nan	11911180	0	5955590	0	5955590	0	11911180	0	100.0	nan	11911180	0	0	0	0.0	nan	0	0	0	0	11911180
PP075_sorted_q10_rmDup	1955746	0	0	0	0	0	0	0	1955746	0	100.0	nan	1955746	0	977873	0	977873	0	1955746	0	100.0	nan	1955746	0	0	0	0.0	nan	0	0	0	0	1955746
PP078	91738060	0	48839834	0	0	0	0	0	91738060	0	100.0	nan	42898226	0	21449579	0	21448647	0	42895836	0	99.99	nan	42895836	0	2390	0	0.01	nan	0	0	0	0	91738060
PP078_sorted_q10	30834082	0	0	0	0	0	0	0	30834082	0	100.0	nan	30834082	0	15417041	0	15417041	0	30834082	0	100.0	nan	30834082	0	0	0	0.0	nan	0	0	0	0	30834082
PP078_sorted_q10_mrkDup	30834082	0	0	0	0	0	23780726	0	30834082	0	100.0	nan	30834082	0	15417041	0	15417041	0	30834082	0	100.0	nan	30834082	0	0	0	0.0	nan	0	0	0	0	30834082
PP078_sorted_q10_rmDup	7053356	0	0	0	0	0	0	0	7053356	0	100.0	nan	7053356	0	3526678	0	3526678	0	7053356	0	100.0	nan	7053356	0	0	0	0.0	nan	0	0	0	0	7053356
PP084	264583584	0	197822778	0	0	0	0	0	264583584	0	100.0	nan	66760806	0	33378993	0	33381813	0	66756342	0	99.99	nan	66756342	0	4464	0	0.01	nan	0	0	0	0	264583584
PP084_sorted_q10	23381450	0	0	0	0	0	0	0	23381450	0	100.0	nan	23381450	0	11690725	0	11690725	0	23381450	0	100.0	nan	23381450	0	0	0	0.0	nan	0	0	0	0	23381450
PP084_sorted_q10_mrkDup	23381450	0	0	0	0	0	18593946	0	23381450	0	100.0	nan	23381450	0	11690725	0	11690725	0	23381450	0	100.0	nan	23381450	0	0	0	0.0	nan	0	0	0	0	23381450
PP084_sorted_q10_rmDup	4787504	0	0	0	0	0	0	0	4787504	0	100.0	nan	4787504	0	2393752	0	2393752	0	4787504	0	100.0	nan	4787504	0	0	0	0.0	nan	0	0	0	0	4787504
PP087	16667126	0	8452664	0	0	0	0	0	16667126	0	100.0	nan	8214462	0	4107275	0	4107187	0	8213776	0	99.99	nan	8213776	0	686	0	0.01	nan	0	0	0	0	16667126
PP087_sorted_q10	5977384	0	0	0	0	0	0	0	5977384	0	100.0	nan	5977384	0	2988692	0	2988692	0	5977384	0	100.0	nan	5977384	0	0	0	0.0	nan	0	0	0	0	5977384
PP087_sorted_q10_mrkDup	5977384	0	0	0	0	0	4037324	0	5977384	0	100.0	nan	5977384	0	2988692	0	2988692	0	5977384	0	100.0	nan	5977384	0	0	0	0.0	nan	0	0	0	0	5977384
PP087_sorted_q10_rmDup	1940060	0	0	0	0	0	0	0	1940060	0	100.0	nan	1940060	0	970030	0	970030	0	1940060	0	100.0	nan	1940060	0	0	0	0.0	nan	0	0	0	0	1940060
