Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
PP035	77048500	0	36392094	0	0	0	0	0	77048500	0	100.0	nan	40656406	0	20328655	0	20327751	0	40654500	0	100.0	nan	40654500	0	1906	0	0.0	nan	0	0	0	0	77048500
PP035_sorted_q10	30185160	0	0	0	0	0	0	0	30185160	0	100.0	nan	30185160	0	15092580	0	15092580	0	30185160	0	100.0	nan	30185160	0	0	0	0.0	nan	0	0	0	0	30185160
PP035_sorted_q10_mrkDup	30185160	0	0	0	0	0	24222340	0	30185160	0	100.0	nan	30185160	0	15092580	0	15092580	0	30185160	0	100.0	nan	30185160	0	0	0	0.0	nan	0	0	0	0	30185160
PP035_sorted_q10_rmDup	5962820	0	0	0	0	0	0	0	5962820	0	100.0	nan	5962820	0	2981410	0	2981410	0	5962820	0	100.0	nan	5962820	0	0	0	0.0	nan	0	0	0	0	5962820
PP036	67917829	0	42474243	0	0	0	0	0	67917829	0	100.0	nan	25443586	0	12721696	0	12721890	0	25441080	0	99.99	nan	25441080	0	2506	0	0.01	nan	0	0	0	0	67917829
PP036_sorted_q10	15445118	0	0	0	0	0	0	0	15445118	0	100.0	nan	15445118	0	7722559	0	7722559	0	15445118	0	100.0	nan	15445118	0	0	0	0.0	nan	0	0	0	0	15445118
PP036_sorted_q10_mrkDup	15445118	0	0	0	0	0	13217354	0	15445118	0	100.0	nan	15445118	0	7722559	0	7722559	0	15445118	0	100.0	nan	15445118	0	0	0	0.0	nan	0	0	0	0	15445118
PP036_sorted_q10_rmDup	2227764	0	0	0	0	0	0	0	2227764	0	100.0	nan	2227764	0	1113882	0	1113882	0	2227764	0	100.0	nan	2227764	0	0	0	0.0	nan	0	0	0	0	2227764
PP041	41462092	0	22240798	0	0	0	0	0	41462092	0	100.0	nan	19221294	0	9610632	0	9610662	0	19219668	0	99.99	nan	19219668	0	1626	0	0.01	nan	0	0	0	0	41462092
PP041_sorted_q10	13473868	0	0	0	0	0	0	0	13473868	0	100.0	nan	13473868	0	6736934	0	6736934	0	13473868	0	100.0	nan	13473868	0	0	0	0.0	nan	0	0	0	0	13473868
