Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
PP035	77048500	77048500	45.13	15094154.0										
PP035_R1					75.81026214712725	48.0	96.06542635888857	27.27272727272727	33442882.0					
PP035_R2					71.51624712796149	49.0	96.05182107211932	36.36363636363637	33442882.0					
PP035_libComplexityPicard										0.654691				
PP035_sorted											151	190.726369		
PP035_sorted_q10	30185160	30185160								0.802459				
PP035_sorted_q10_mrkDup	30185160	30185160											80.06193109461735	12083411
PP035_sorted_q10_rmDup	5962820	5962820											73.90754710019756	2203487
PP036	67917829	67917829	19.22	7724190.0										
PP036_R1					79.35516317337894	48.0	94.38591451598664	27.27272727272727	40187444.0					
PP036_R2					73.44642111259627	49.0	94.36509612305774	36.36363636363637	40187444.0					
PP036_libComplexityPicard										0.762319				
PP036_sorted											132	157.945674		
PP036_sorted_q10	15445118	15445118								0.855763				
PP036_sorted_q10_mrkDup	15445118	15445118											56.137544562624896	4335255
PP036_sorted_q10_rmDup	2227764	2227764											52.51723252552784	584980
PP041	41462092	41462092	17.88	6738061.0										
PP041_R1					74.10565934941336	50.0	94.91360777280262	27.27272727272727	37684837.0					
PP041_R2					71.24377729400209	51.0	94.80910340676277	36.36363636363637	37684837.0					
PP041_libComplexityPicard										0.700464				
PP041_sorted											166	239.469054		
PP041_sorted_q10	13473868	13473868								0.814375				
PP041_sorted_q10_mrkDup	13473868	13473868											74.59013254397327	5025088
PP041_sorted_q10_rmDup	2501092	2501092											68.54126117711785	857140
PP043	50458943	50458943	22.91	7607328.0										
PP043_R1					82.15586218776687	50.0	97.78866799715495	18.181818181818183	33204351.0					
PP043_R2					74.75338027159458	51.0	97.67602022999938	45.45454545454545	33204351.0					
PP043_libComplexityPicard										0.768362				
PP043_sorted											158	196.47147		
PP043_sorted_q10	15211636	15211636								0.8688				
PP043_sorted_q10_mrkDup	15211636	15211636											62.14131077025509	4726355
PP043_sorted_q10_rmDup	1995774	1995774											55.28020707755488	551634
PP046	34128211	34128211	15.1	4736442.0										
PP046_R1					73.03673958397286	50.0	92.97746303485279	27.27272727272727	31376718.0					
PP046_R2					67.05572911724262	51.0	92.94468280589449	45.45454545454545	31376718.0					
PP046_libComplexityPicard										0.700164				
PP046_sorted											140	178.079652		
PP046_sorted_q10	9470708	9470708								0.825298				
